SMILES	SMARTS
CC=CC1:N(C):C2:C:C:C:C:C:2:[N+]:1C	[#7+]1(:[#6](:[#7](-[#6]):[#6]2:[#6]:1:[#6]:[#6]:[#6]:[#6]:2)-[#6]=[#6]-[#6])-[#6]
CC[C@@](C)(O)C#N	[#6](-[#6])-[#6@@](-[#6])(-[#8])-[#6]#[#7]
N#CCNCC#N	[#7](-[#6]-[#6]#[#7])-[#6]-[#6]#[#7]
CC(C)SCC#N	[#16](-[#6](-[#6])-[#6])-[#6]-[#6]#[#7]
N#CC1:C:C:C(C#N):O:1	[#6]1(:[#6]:[#6]:[#6](:[#8]:1)-[#6]#[#7])-[#6]#[#7]
CN(C)C1:C:C:C(C2=C(O)C(C3:C:C:C(N(C)C):C:C:3)=C2O):C:C:1	[#6]1(=[#6](-[#8])-[#6](=[#6]-1-[#8])-[#6]1:[#6]:[#6]:[#6](-[#7](-[#6])-[#6]):[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6](-[#7](-[#6])-[#6]):[#6]:[#6]:1
O=P(C1CCCCC1)(C1CCCCC1)C1CCCCC1	[#8]=[#15](-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1)(-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1
CC(=O)NNC(C)=O	[#6](-[#6])(=[#8])-[#7]-[#7]-[#6](-[#6])=[#8]
COS(=O)(=O)OC	[#8](-[#6])-[#16](=[#8])(=[#8])-[#8]-[#6]
CNC1=NS(=O)N=C1NC1:C:C:C:C:C:1	[#6]1(=[#7]-[#16](=[#8])-[#7]=[#6]-1-[#7]-[#6])-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
CN(C)CN(C)C	[#6](-[#7](-[#6])-[#6])-[#7](-[#6])-[#6]
O=C1CC=CN=N1	[#6]1(=[#8])-[#6]-[#6]=[#6]-[#7]=[#7]-1
N#CC(Cl)(Cl)C#N	[#6](#[#7])-[#6](-[#17])(-[#17])-[#6]#[#7]
O=C1NC(=O)C(Br)=C1Br	[#6]1(=[#6](-[#35])-[#6](=[#8])-[#7]-[#6]-1=[#8])-[#35]
CCC(=O)N1C=NN(C(=O)CC)C2:C:C:N:C:C:21	[#6]12:[#6](-[#7](-[#7]=[#6]-[#7]-1-[#6](=[#8])-[#6]-[#6])-[#6](=[#8])-[#6]-[#6]):[#6]:[#6]:[#7]:[#6]:2
C[C@@H]1C=NNC1=O	[#6]1(=[#8])-[#6@H](-[#6])-[#6]=[#7]-[#7]-1
CO[P@]1(=O)CCO[P@](Cl)O1	[#8]1-[#15@@](=[#8])(-[#6]-[#6]-[#8]-[#15@]-1-[#17])-[#8]-[#6]
NCC=C1SCCS1	[#6]1(=[#6]-[#6]-[#7])-[#16]-[#6]-[#6]-[#16]-1
O=C1C=C(O)C(=O)C=C1O	[#6]1(=[#8])-[#6](=[#6]-[#6](=[#8])-[#6](=[#6]-1)-[#8])-[#8]
OC1=CNC=C(O)C1	[#6]1=[#6](-[#8])-[#6]-[#6](=[#6]-[#7]-1)-[#8]
CN(C)C=CC=O	[#6](=[#6]-[#6]=[#8])-[#7](-[#6])-[#6]
CC(=O)N1CC(O)=CC1=O	[#6]1(=[#6]-[#6](=[#8])-[#7](-[#6]-1)-[#6](-[#6])=[#8])-[#8]
COC(=O)C1=CNCCC1	[#6]1(=[#6]-[#7]-[#6]-[#6]-[#6]-1)-[#6](=[#8])-[#8]-[#6]
OC(=S)C1:C:C:C:O:1	[#6]1(:[#6]:[#6]:[#6]:[#8]:1)-[#6](=[#16])-[#8]
FC1(F)OC2:C:C:C:C:C:2O1	[#6]12:[#6](-[#8]-[#6](-[#9])(-[#9])-[#8]-1):[#6]:[#6]:[#6]:[#6]:2
CCN=[N+]([O-])CC	[#7+](=[#7]-[#6]-[#6])(-[#8-])-[#6]-[#6]
CC[O+](CC)CC.F[P-](F)(F)(F)(F)F	[#15-](-[#9])(-[#9])(-[#9])(-[#9])(-[#9])-[#9].[#6](-[#6])-[#8+](-[#6]-[#6])-[#6]-[#6]
FC1=C(F)OC(C(F)(F)F)(C(F)(F)F)O1	[#8]1-[#6](-[#6](-[#9])(-[#9])-[#9])(-[#6](-[#9])(-[#9])-[#9])-[#8]-[#6](-[#9])=[#6]-1-[#9]
CCOC(=O)CF	[#6](=[#8])(-[#8]-[#6]-[#6])-[#6]-[#9]
CNC(=O)OCC1C2:C:C:C:C:C:2C2:C:C:C:C:C:21	[#6]12:[#6](:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6](-[#6]-2-[#6]-[#8]-[#6](=[#8])-[#7]-[#6]):[#6]:[#6]:[#6]:[#6]:1
O=CN1CCCC1	[#6]1-[#7](-[#6]-[#6]-[#6]-1)-[#6]=[#8]
NC1=[SH]C2:C:C:C:C:C:2N1	[#16]1=[#6](-[#7])-[#7]-[#6]2:[#6]-1:[#6]:[#6]:[#6]:[#6]:2
CS(C)=CC(=O)C1:C:C:C:C:C:1	[#6](=[#8])(-[#6]=[#16](-[#6])-[#6])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
OC(C1:C:C:C:O:1)C1:C:C:C:O:1	[#6]1(:[#6]:[#6]:[#6]:[#8]:1)-[#6](-[#8])-[#6]1:[#6]:[#6]:[#6]:[#8]:1
C1=C[C@@H]2C3:C:C:C:C:C:3NC[C@@H]2C1	[#6]1:[#6]:[#6]2:[#6](-[#7]-[#6]-[#6@H]3-[#6@@H]-2-[#6]=[#6]-[#6]-3):[#6]:[#6]:1
FC1:C(F):C(F):N(F):C:1F	[#6]1(-[#9]):[#6](-[#9]):[#7](-[#9]):[#6](:[#6]:1-[#9])-[#9]
CCOP(=O)(Cl)Cl	[#8](-[#15](=[#8])(-[#17])-[#17])-[#6]-[#6]
O=C(O)[C@H](Cl)CCl	[#6](-[#8])(=[#8])-[#6@H](-[#17])-[#6]-[#17]
CC(=O)C(Cl)=NO	[#6](=[#7]-[#8])(-[#17])-[#6](-[#6])=[#8]
CC(=O)C(F)(F)F	[#6](-[#6])(=[#8])-[#6](-[#9])(-[#9])-[#9]
N#CC1:C:C:C:N:C:1Cl	[#6]1(:[#6]:[#6]:[#6]:[#7]:[#6]:1-[#17])-[#6]#[#7]
ClC1:C:C:C:N:N:1	[#6]1:[#7]:[#7]:[#6](-[#17]):[#6]:[#6]:1
O=C(CCl)NCO	[#6](=[#8])(-[#7]-[#6]-[#8])-[#6]-[#17]
COC(=O)[C@@H]1C[C@@H]2O[C@@H]2C[C@H]1C(=O)OC	[#6]1-[#6@H](-[#6@@H](-[#6]-[#6@@H]2-[#6@H]-1-[#8]-2)-[#6](=[#8])-[#8]-[#6])-[#6](=[#8])-[#8]-[#6]
CCCC[C@H]1CO1	[#6]1-[#6@@H](-[#8]-1)-[#6]-[#6]-[#6]-[#6]
O=C1:N:N:C(C2:C:C:C:O:2):O:1	[#8]=[#6]1:[#7H]:[#7]:[#6](:[#8]:1)-[#6]1:[#6]:[#6]:[#6]:[#8]:1
NN=C1NCCN1	[#6]1(=[#7]-[#7])-[#7]-[#6]-[#6]-[#7]-1
CCOC(=O)N=C(NC)NC1:C:C:C2:C(:C:1)CC1:C:C(NC(=NC(=O)OCC)NC):C:C:C:12	[#7](=[#6](-[#7]-[#6])-[#7]-[#6]1:[#6]:[#6]2:[#6](-[#6]3:[#6](-[#6]-2):[#6]:[#6](:[#6]:[#6]:3)-[#7]-[#6](=[#7]-[#6](=[#8])-[#8]-[#6]-[#6])-[#7]-[#6]):[#6]:[#6]:1)-[#6](=[#8])-[#8]-[#6]-[#6]
O=C(CSC1:C:C:C:C:N:1)N=C1:N:C(=O):C2:C:C:C:C:C:2:S:1	[#6]1(=[#7]-[#6](=[#8])-[#6]-[#16]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#7]:2):[#7H]:[#6](=[#8]):[#6]2:[#6](:[#16]:1):[#6]:[#6]:[#6]:[#6]:2
CC(C=NO)=NO	[#6](=[#7]-[#8])(-[#6])-[#6]=[#7]-[#8]
CCOC(C)=NO	[#6](=[#7]-[#8])(-[#6])-[#8]-[#6]-[#6]
[C-]#[N+]CC(=O)OC	[#6](=[#8])(-[#6]-[#7+]#[#6-])-[#8]-[#6]
CSC1=NCCS1	[#6]1(=[#7]-[#6]-[#6]-[#16]-1)-[#16]-[#6]
C1:C:C:C(N=P(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C2:C:C:C:C:C:2):C:C:1	[#6]1(:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#15](=[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)(-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
CN1:S:C:C:C:1=O	[#6]1(=[#8]):[#7](-[#6]):[#16]:[#6]:[#6]:1
CSC1=NN=C(SC)NN1	[#6]1(=[#7]-[#7]=[#6](-[#7]-[#7]-1)-[#16]-[#6])-[#16]-[#6]
CC1=N[C@H](C)N=C(CC(C)C)S1	[#7]1=[#6](-[#6])-[#16]-[#6](=[#7]-[#6@H]-1-[#6])-[#6]-[#6](-[#6])-[#6]
CCCSC(=N)N	[#16](-[#6](-[#7])=[#7])-[#6]-[#6]-[#6]
NC1=NC(=O)CS1	[#6]1(=[#8])-[#7]=[#6](-[#7])-[#16]-[#6]-1
CCO[13C](=O)[13CH2]Br	[13#6](=[#8])(-[#8]-[#6]-[#6])-[13#6H2]-[#35]
CC(=O)C(C)=NO	[#6](=[#7]-[#8])(-[#6])-[#6](-[#6])=[#8]
O=C1NC(=O)C2:C:C:C:C3:C:C:C:C1:C:2:3	[#6]12:[#6]3-[#6](=[#8])-[#7]-[#6](=[#8])-[#6]:1:[#6]:[#6]:[#6]:[#6]:2:[#6]:[#6]:[#6]:3
CN1CN(C)CN(C)C1	[#6]1-[#7](-[#6])-[#6]-[#7](-[#6])-[#6]-[#7]-1-[#6]
CCS(=O)(=O)C(C)(C)S(=O)(=O)CC	[#6]-[#6](-[#6])(-[#16](=[#8])(=[#8])-[#6]-[#6])-[#16](=[#8])(=[#8])-[#6]-[#6]
CC1(C)OC=CC1=O	[#6]1(=[#8])-[#6](-[#6])(-[#6])-[#8]-[#6]=[#6]-1
O=C1C=CC(=O)C1	[#6]1(=[#8])-[#6]-[#6](=[#8])-[#6]=[#6]-1
CC(N)=CC(N)=S	[#6](=[#6]-[#6](-[#7])=[#16])(-[#6])-[#7]
CC(C)N(P=PC1:C(C(C)(C)C):C:C(C(C)(C)C):C:C:1C(C)(C)C)C(C)C	[#6]1(:[#6](:[#6]:[#6](-[#6](-[#6])(-[#6])-[#6]):[#6]:[#6]:1-[#6](-[#6])(-[#6])-[#6])-[#6](-[#6])(-[#6])-[#6])-[#15]=[#15]-[#7](-[#6](-[#6])-[#6])-[#6](-[#6])-[#6]
CSC1:N:C(SC):N:C(SC):N:1	[#6]1(:[#7]:[#6](:[#7]:[#6](:[#7]:1)-[#16]-[#6])-[#16]-[#6])-[#16]-[#6]
CC([N+](=O)[O-])[N+](=O)[O-]	[#7+](-[#8-])(=[#8])-[#6](-[#6])-[#7+](-[#8-])=[#8]
O=S(=O)(O)C1:C:C:C:C2:C:C:C:C:C:1:2	[#6]12:[#6](:[#6]:[#6]:[#6]:[#6]:1:[#6]:[#6]:[#6]:[#6]:2)-[#16](-[#8])(=[#8])=[#8]
C1:C:C:C2:C:C(OC3:C:C:C4:C:C:C:C:C:4:C:3):C:C:C:2:C:1	[#6]12:[#6]:[#6]:[#6](:[#6]:[#6]:1:[#6]:[#6]:[#6]:[#6]:2)-[#8]-[#6]1:[#6]:[#6]:[#6]2:[#6](:[#6]:1):[#6]:[#6]:[#6]:[#6]:2
O=CNCNC=O	[#6](-[#7]-[#6]=[#8])-[#7]-[#6]=[#8]
O=C(O)P(=O)(O)O	[#6](-[#8])(=[#8])-[#15](-[#8])(-[#8])=[#8]
CCN(O)C(N)=O	[#7](-[#8])(-[#6](-[#7])=[#8])-[#6]-[#6]
CC(C)([N+](=O)[O-])S(=O)(=O)C1:C:C:C:C:C:1	[#6]1(:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#16](=[#8])(=[#8])-[#6](-[#6])(-[#6])-[#7+](-[#8-])=[#8]
CC(C)(Br)[N+](=O)[O-]	[#7+](-[#8-])(=[#8])-[#6](-[#6])(-[#6])-[#35]
CC(C)(C)S(=O)(=O)C[N+](=O)[O-]	[#16](=[#8])(=[#8])(-[#6](-[#6])(-[#6])-[#6])-[#6]-[#7+](-[#8-])=[#8]
O=[N+]([O-])C1:C:C:C:O:1	[#6]1(:[#6]:[#6]:[#6]:[#8]:1)-[#7+](-[#8-])=[#8]
C[N+]1([O-])CCOCC1	[#6]1-[#7+](-[#6])(-[#8-])-[#6]-[#6]-[#8]-[#6]-1
NC1:N:C:C([N+](=O)[O-]):C:N:1	[#6]1(:[#6]:[#7]:[#6](-[#7]):[#7]:[#6]:1)-[#7+](-[#8-])=[#8]
N=C(N)N[N+](=O)[O-]	[#6](-[#7])(=[#7])-[#7]-[#7+](-[#8-])=[#8]
O=NN1CCCC1	[#6]1-[#7](-[#6]-[#6]-[#6]-1)-[#7]=[#8]
CC(C)(C)ON=O	[#8](-[#6](-[#6])(-[#6])-[#6])-[#7]=[#8]
